MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,NumRings,FractionCSP3,NumHeteroatoms,MolRefractivity,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,BalabanJ,BertzCT
161.20099999999996,-1.8064999999999984,1,3,60.36,4,0,11,0,0.8571428571428571,4,38.5302,66,0,0.1080457319082705,-0.5500638112675683,0.0,139.1113374466282
278.312,0.19300000000000006,0,4,78.89000000000001,5,2,20,2,0.5384615384615384,7,74.74700000000003,108,0,0.33170343481790027,-0.32473082418892174,2.3477856596431597,766.2398536300292
646.8180000000001,4.329100000000002,5,8,170.82,4,0,46,6,0.8611111111111112,10,166.25499999999965,258,0,0.33529112348914214,-0.48082904355879025,1.310831832394088,1341.51850693277
456.71100000000035,7.089500000000009,2,2,57.53,1,0,33,5,0.9,3,132.61160000000004,186,0,0.3094336910524517,-0.48081378173134237,1.6118348286028037,873.767491538075
456.71100000000035,7.089500000000009,2,2,57.53,1,0,33,5,0.9,3,132.61160000000004,186,0,0.3094336910524517,-0.48081378173134237,1.6118348286028037,873.767491538075
536.8880000000004,12.605799999999977,0,0,0.0,10,0,40,2,0.45,0,181.3919999999994,216,0,-0.010398601996155476,-0.06957434981437802,1.885637979049954,1116.3830913843028
196.108,-0.040999999999999925,2,2,63.32000000000001,4,0,9,0,0.8,4,36.653199999999984,54,0,,,0.0,96.95878455585174
270.24,2.576800000000001,3,5,90.9,1,3,20,3,0.0,5,72.9144,100,0,0.20084962696655936,-0.5040678974331602,2.3623328534654777,849.5071386809373
284.267,2.8798000000000004,2,5,79.89999999999999,2,3,21,3,0.0625,5,77.80160000000001,106,0,0.20428797325996348,-0.5068880543326166,2.406027066974854,865.2099982883233
254.24099999999999,2.8712000000000013,2,4,70.67,1,3,19,3,0.0,4,71.24960000000002,94,0,0.1965791543464905,-0.5076781658604216,2.3409958657668253,803.4836768266102
270.24,2.576800000000001,3,5,90.9,1,3,20,3,0.0,5,72.91440000000001,100,0,0.20375050286477928,-0.507966244667516,2.314178645953313,846.5071386809373
254.24099999999999,2.871200000000001,2,4,70.67,1,3,19,3,0.0,4,71.24960000000002,94,0,0.1999929227880398,-0.507966244667516,2.2576735694139014,800.4836768266103
318.237,1.6935999999999998,6,8,151.59,1,3,23,3,0.0,8,77.90879999999999,118,0,0.23828860248071557,-0.5076781655726541,2.3951104010988047,979.5051144391242
360.3180000000001,1.7612999999999996,5,7,144.52,6,2,26,2,0.1111111111111111,8,89.79700000000004,136,0,0.3448838304933108,-0.504259893027059,2.0467402262209844,856.2647524998478
224.212,1.5071999999999999,2,4,75.99000000000001,4,1,16,1,0.18181818181818182,5,57.88060000000002,86,0,0.3278212209588248,-0.5016992098707758,3.163201814717755,397.3782531356381
168.148,1.0989999999999998,2,3,66.76,2,1,12,1,0.125,4,41.61810000000002,64,0,0.3353226528876391,-0.5042542960594021,3.1343002499495434,305.92621196610224
164.16,1.49,2,2,57.53,2,1,12,1,0.0,3,44.776600000000016,62,0,0.32782118481951544,-0.5079662507795569,2.7720256132280023,298.05461594379176
150.221,2.824020000000001,1,1,20.23,1,1,11,1,0.4,1,46.93280000000003,60,0,0.11878902060847928,-0.5076548360000178,3.092719758380193,251.04973178598337
164.20399999999995,2.1292999999999997,1,2,29.46,3,1,12,1,0.2,2,48.55980000000003,64,0,0.1602603057731768,-0.5042546024667084,2.959559547224779,279.16711032401867
